epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09695,1.17324,3.32809,1.50783,0.67821,0.37981,0.42208,0.38277,1.23175,7.53136,1.64348,0.00015,0.00015,0.00015
2,10.1753,1.1805,2.23187,1.52795,0.27352,0.43232,0.15076,0.11623,1.53547,20.3861,1.92483,0.000312424,0.000312424,0.000312424
3,15.4257,1.15635,2.06847,1.487,0.18991,0.46496,0.20045,0.13175,1.92977,67.5228,3.34405,0.000474536,0.000474536,0.000474536
4,20.6966,1.27615,1.90388,1.56353,0.25006,0.01471,3e-05,2e-05,3.51917,inf,12.8784,0.0006361,0.0006361,0.0006361
5,25.8223,1.38679,2.06879,1.64178,0.00092,0.02291,0.00054,0.00024,3.08663,inf,64.4289,0.000796877,0.000796877,0.000796877
6,30.8215,1.37572,1.97637,1.61997,0,0,0,0,3.51054,inf,201.751,0.000956634,0.000956634,0.000956634
7,35.7724,1.36199,1.9601,1.61712,7e-05,0.01471,5e-05,2e-05,3.91788,inf,52.6465,0.00111514,0.00111514,0.00111514
8,40.6451,1.34595,1.9229,1.62618,0.00134,0.16667,0.00114,0.00044,3.1765,inf,5.33374,0.0012351,0.0012351,0.0012351
9,45.5974,1.36378,1.95173,1.62121,0.00884,0.18797,0.00624,0.00345,3.75768,inf,11.1701,0.00123056,0.00123056,0.00123056
10,50.434,1.42419,1.83767,1.63241,0.375,0.10938,0.09954,0.0643,2.15618,55.3831,3.47916,0.00122543,0.00122543,0.00122543
11,55.2601,1.31657,1.76552,1.59417,0.30907,0.28125,0.03548,0.01187,2.32455,28.3748,3.54251,0.00121972,0.00121972,0.00121972
12,60.0839,1.3053,1.69685,1.59648,0.25447,0.41377,0.19139,0.12109,2.19084,28.7136,3.38924,0.00121342,0.00121342,0.00121342
13,64.8008,1.30594,1.585,1.58448,0.75253,0.23958,0.22892,0.17295,1.81533,28.518,2.66661,0.00120655,0.00120655,0.00120655
14,69.5436,1.34376,1.66943,1.58536,0.2707,0.50207,0.43051,0.3305,1.58947,10.3182,2.07228,0.00119911,0.00119911,0.00119911
15,74.3036,1.24284,1.531,1.53556,0.37194,0.53281,0.32262,0.22896,1.5337,9.43626,2.0474,0.00119111,0.00119111,0.00119111
16,79.1262,1.20429,1.49688,1.51727,0.33183,0.42923,0.32038,0.21974,1.78956,8.87978,2.40351,0.00118256,0.00118256,0.00118256
17,83.8059,1.25297,1.51414,1.52417,0.40227,0.57154,0.34719,0.21135,1.64939,6.03611,2.339,0.00117346,0.00117346,0.00117346
18,88.6419,1.17577,1.41809,1.45506,0.59787,0.41706,0.4479,0.32483,1.62779,3.68666,2.28961,0.00116383,0.00116383,0.00116383
19,93.3804,1.2159,1.42528,1.49393,0.5349,0.72936,0.64052,0.48711,1.43509,2.40099,1.98773,0.00115368,0.00115368,0.00115368
20,98.3043,1.16119,1.36478,1.46535,0.43208,0.70445,0.62436,0.4483,1.46,2.3427,1.91053,0.00114301,0.00114301,0.00114301
21,103.237,1.13642,1.28976,1.44221,0.75891,0.65048,0.70237,0.54966,1.328,1.99904,1.77366,0.00113183,0.00113183,0.00113183
