epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,108.28,1.12137,1.24351,1.4073,0.66077,0.67308,0.67658,0.54188,1.28456,1.98336,1.79817,0.00112016,0.00112016,0.00112016
23,113.014,1.13297,1.31471,1.45715,0.82373,0.57998,0.70282,0.45514,1.44927,2.17341,1.90912,0.00110801,0.00110801,0.00110801
24,117.771,1.13688,1.3243,1.45403,0.61597,0.7407,0.71482,0.57248,1.23641,2.0456,1.71932,0.00109538,0.00109538,0.00109538
25,122.711,1.14971,1.2825,1.46551,0.60536,0.7298,0.69386,0.54868,1.31826,1.75726,1.75461,0.0010823,0.0010823,0.0010823
26,127.401,1.095,1.2249,1.40331,0.6807,0.69195,0.69415,0.56379,1.31663,1.70087,1.73869,0.00106877,0.00106877,0.00106877
27,132.11,1.13273,1.33623,1.45505,0.68718,0.70469,0.69314,0.5759,1.3038,1.54868,1.68307,0.00105481,0.00105481,0.00105481
28,137.146,1.05722,1.23236,1.39734,0.71454,0.73375,0.73539,0.58302,1.2211,1.46768,1.70322,0.00104044,0.00104044,0.00104044
29,142.241,1.07814,1.2167,1.407,0.71746,0.72796,0.73421,0.59732,1.21323,1.4542,1.70273,0.00102566,0.00102566,0.00102566
30,147.422,1.01328,1.20008,1.34493,0.65884,0.66308,0.68547,0.46768,1.2489,1.5672,1.72608,0.00101049,0.00101049,0.00101049
31,152.217,1.03572,1.17655,1.37496,0.65875,0.76312,0.74873,0.58782,1.18307,1.46541,1.66319,0.000994942,0.000994942,0.000994942
32,156.982,1.01605,1.16993,1.37582,0.6599,0.7582,0.74718,0.62277,1.1727,1.36893,1.64542,0.000979039,0.000979039,0.000979039
33,162.082,1.00472,1.15093,1.35278,0.70388,0.78931,0.76264,0.60782,1.1506,1.66473,1.61466,0.000962793,0.000962793,0.000962793
34,166.887,1.00125,1.11206,1.33797,0.73996,0.78376,0.77749,0.62932,1.15417,1.4732,1.63489,0.000946219,0.000946219,0.000946219
35,172.135,0.9946,1.1426,1.34718,0.77003,0.78054,0.77625,0.63544,1.19583,1.20044,1.65426,0.000929335,0.000929335,0.000929335
36,177.183,0.99786,1.10682,1.35477,0.74531,0.7582,0.75408,0.62409,1.19992,1.38355,1.63907,0.000912157,0.000912157,0.000912157
37,182.06,1.02792,1.14716,1.37382,0.64401,0.76524,0.75082,0.62068,1.15476,1.49614,1.61545,0.000894701,0.000894701,0.000894701
38,186.897,1.03075,1.16406,1.41118,0.79171,0.6974,0.74642,0.61474,1.12257,1.33712,1.62368,0.000876985,0.000876985,0.000876985
39,191.832,0.91656,1.05792,1.32141,0.73979,0.71845,0.75309,0.63577,1.0975,1.36382,1.57718,0.000859027,0.000859027,0.000859027
40,197.021,0.94901,1.06272,1.3322,0.78434,0.69326,0.76509,0.65201,1.11135,1.3255,1.5603,0.000840844,0.000840844,0.000840844
41,202.213,0.97865,1.07966,1.30052,0.67599,0.73471,0.75708,0.61347,1.11273,1.34488,1.56874,0.000822454,0.000822454,0.000822454
42,206.977,0.87768,0.9953,1.26745,0.82057,0.68878,0.7772,0.63703,1.15958,1.24567,1.62222,0.000803876,0.000803876,0.000803876
43,211.819,0.93725,1.04911,1.3113,0.75257,0.81278,0.78677,0.65193,1.14077,1.21204,1.60584,0.000785127,0.000785127,0.000785127
44,216.766,0.92391,1.04169,1.28495,0.75147,0.78922,0.7717,0.6367,1.19342,1.19094,1.61574,0.000766226,0.000766226,0.000766226
45,221.581,0.94496,1.0244,1.2947,0.76615,0.77979,0.77301,0.64607,1.13244,1.17209,1.6067,0.000747192,0.000747192,0.000747192
46,226.377,0.92066,0.98938,1.28041,0.79006,0.74519,0.76837,0.64413,1.11867,1.12679,1.57374,0.000728044,0.000728044,0.000728044
47,231.189,0.89047,0.97189,1.28254,0.81444,0.76633,0.78737,0.65167,1.11654,1.1392,1.57448,0.0007088,0.0007088,0.0007088
48,235.935,0.84276,0.94333,1.27277,0.78629,0.80062,0.77949,0.64594,1.14557,1.11905,1.60147,0.00068948,0.00068948,0.00068948
49,240.754,0.79738,0.89966,1.22487,0.76242,0.80049,0.7741,0.65523,1.17083,1.09892,1.61811,0.000670102,0.000670102,0.000670102
50,245.78,0.85306,0.98223,1.24693,0.78974,0.80802,0.77591,0.64696,1.16855,1.17798,1.61101,0.000650685,0.000650685,0.000650685
51,250.479,0.87783,0.93733,1.24536,0.75642,0.72579,0.76331,0.6486,1.07875,1.14625,1.55316,0.00063125,0.00063125,0.00063125
52,255.189,0.8063,0.89794,1.20655,0.77142,0.7681,0.77169,0.66114,1.03884,1.06415,1.54976,0.000611815,0.000611815,0.000611815
53,260.058,0.83358,0.86936,1.24998,0.75755,0.80939,0.78248,0.66576,1.06896,1.07464,1.58673,0.000592398,0.000592398,0.000592398
54,264.97,0.8021,0.85382,1.20103,0.79058,0.81307,0.78179,0.66181,1.07786,1.09832,1.56308,0.00057302,0.00057302,0.00057302
55,269.639,0.7938,0.86383,1.21265,0.78351,0.81193,0.80279,0.66685,1.10033,1.07503,1.55184,0.0005537,0.0005537,0.0005537
56,274.584,0.78207,0.83138,1.2046,0.78192,0.80798,0.79618,0.67141,1.12643,1.08632,1.5603,0.000534456,0.000534456,0.000534456
57,279.462,0.76992,0.80686,1.19746,0.80245,0.79242,0.79122,0.6655,1.1427,1.0772,1.61172,0.000515308,0.000515308,0.000515308
58,284.129,0.7948,0.87345,1.21745,0.81834,0.75972,0.78557,0.66376,1.12886,1.11113,1.59647,0.000496274,0.000496274,0.000496274
59,288.793,0.75041,0.82068,1.18335,0.76693,0.80294,0.78862,0.66195,1.14716,1.0881,1.60083,0.000477373,0.000477373,0.000477373
60,293.51,0.76097,0.80929,1.17074,0.78114,0.8107,0.77963,0.65984,1.16083,1.08882,1.63913,0.000458624,0.000458624,0.000458624
61,298.163,0.75512,0.81257,1.17136,0.78715,0.82636,0.79315,0.66889,1.10374,1.08681,1.6103,0.000440046,0.000440046,0.000440046
62,302.829,0.72749,0.77354,1.19023,0.76349,0.82784,0.79221,0.66007,1.11908,1.06916,1.64455,0.000421656,0.000421656,0.000421656
63,307.5,0.76427,0.77794,1.20846,0.72951,0.81787,0.78553,0.6601,1.13716,1.11202,1.64986,0.000403473,0.000403473,0.000403473
64,312.193,0.76133,0.82254,1.17052,0.79067,0.78988,0.79634,0.6767,1.09591,1.16743,1.60503,0.000385515,0.000385515,0.000385515
65,317.056,0.73512,0.80193,1.17175,0.7687,0.79579,0.79427,0.67725,1.06375,1.14009,1.57469,0.000367799,0.000367799,0.000367799
66,321.952,0.7146,0.77495,1.13463,0.76613,0.77743,0.78204,0.66496,1.08236,1.12861,1.60248,0.000350343,0.000350343,0.000350343
67,326.61,0.72204,0.78237,1.16651,0.76071,0.79693,0.77157,0.66024,1.10356,1.10729,1.61038,0.000333165,0.000333165,0.000333165
68,331.304,0.73286,0.80171,1.17311,0.82268,0.78965,0.79079,0.67196,1.10827,1.03321,1.63459,0.000316281,0.000316281,0.000316281
69,335.966,0.69635,0.74093,1.14335,0.80731,0.79936,0.80104,0.6761,1.11525,1.01099,1.65167,0.000299707,0.000299707,0.000299707
70,340.789,0.69945,0.73252,1.14497,0.83099,0.79239,0.79772,0.66896,1.10731,1.0113,1.66342,0.000283461,0.000283461,0.000283461
71,345.769,0.66421,0.71194,1.11971,0.81909,0.80571,0.7934,0.6645,1.12738,1.04184,1.66356,0.000267558,0.000267558,0.000267558
72,350.83,0.70242,0.73478,1.14583,0.80518,0.79484,0.79457,0.66829,1.12,1.05423,1.65103,0.000252014,0.000252014,0.000252014
73,355.813,0.61578,0.68115,1.10378,0.79073,0.80204,0.7929,0.66733,1.10326,1.09583,1.61572,0.000236844,0.000236844,0.000236844
74,361.11,0.64084,0.687,1.10262,0.79434,0.78761,0.7944,0.66804,1.10023,1.12918,1.61431,0.000222063,0.000222063,0.000222063
75,366.315,0.67159,0.72602,1.13645,0.75483,0.79855,0.78638,0.66659,1.09039,1.18256,1.60864,0.000207686,0.000207686,0.000207686
76,371.327,0.64967,0.6763,1.11257,0.77313,0.78648,0.78723,0.66896,1.06525,1.14425,1.59657,0.000193728,0.000193728,0.000193728
77,376.783,0.6071,0.67253,1.08398,0.76274,0.80939,0.78946,0.67002,1.03881,1.09718,1.59987,0.000180201,0.000180201,0.000180201
78,382.12,0.59377,0.64524,1.08614,0.79437,0.7862,0.78559,0.66951,1.06959,1.06882,1.64603,0.000167119,0.000167119,0.000167119
79,386.983,0.62837,0.6453,1.10555,0.78115,0.78531,0.78585,0.66615,1.09819,1.05847,1.67164,0.000154495,0.000154495,0.000154495
80,391.91,0.58417,0.62538,1.08299,0.7863,0.77728,0.78977,0.66772,1.10663,1.06364,1.68116,0.000142342,0.000142342,0.000142342
81,396.67,0.6512,0.67229,1.14799,0.79555,0.78252,0.78702,0.67065,1.08093,1.07697,1.65381,0.000130671,0.000130671,0.000130671
82,401.424,0.58968,0.62871,1.08209,0.77054,0.77743,0.78657,0.67153,1.07905,1.10996,1.64595,0.000119494,0.000119494,0.000119494
83,406.075,0.62326,0.64584,1.1164,0.78753,0.76442,0.78155,0.66955,1.07437,1.12875,1.63933,0.000108822,0.000108822,0.000108822
84,410.768,0.5522,0.60094,1.05792,0.77319,0.77545,0.77792,0.6686,1.06506,1.12424,1.63472,9.86659e-05,9.86659e-05,9.86659e-05
85,415.447,0.56867,0.61506,1.06236,0.77319,0.80204,0.79131,0.67175,1.06433,1.12592,1.62682,8.90352e-05,8.90352e-05,8.90352e-05
86,420.121,0.56917,0.62211,1.08503,0.79174,0.79015,0.78819,0.66921,1.05611,1.12739,1.62137,7.99397e-05,7.99397e-05,7.99397e-05
87,424.783,0.56019,0.61328,1.05553,0.78417,0.78773,0.78708,0.67404,1.06858,1.13398,1.64316,7.13883e-05,7.13883e-05,7.13883e-05
88,429.496,0.55539,0.58475,1.07605,0.79296,0.78414,0.78953,0.67662,1.06499,1.11567,1.64878,6.33893e-05,6.33893e-05,6.33893e-05
89,434.164,0.54533,0.57835,1.06384,0.78327,0.78026,0.78945,0.67559,1.07215,1.09478,1.65343,5.59508e-05,5.59508e-05,5.59508e-05
90,438.861,0.55038,0.61286,1.06393,0.77375,0.78507,0.79028,0.67453,1.06877,1.08807,1.64743,4.908e-05,4.908e-05,4.908e-05
91,451.387,0.52699,0.58389,1.04404,0.76695,0.79836,0.78299,0.66685,1.0725,1.08527,1.652,4.27838e-05,4.27838e-05,4.27838e-05
92,456.207,0.51462,0.58584,1.03731,0.77293,0.79836,0.78167,0.66605,1.0703,1.08567,1.65813,3.70683e-05,3.70683e-05,3.70683e-05
93,461.029,0.48812,0.55806,1.01395,0.78982,0.79598,0.78555,0.66817,1.08051,1.09048,1.67032,3.19392e-05,3.19392e-05,3.19392e-05
94,465.792,0.50935,0.57596,1.05632,0.80088,0.78416,0.78207,0.66626,1.0848,1.09379,1.67686,2.74015e-05,2.74015e-05,2.74015e-05
95,470.712,0.48249,0.52331,1.00595,0.81298,0.78507,0.78437,0.66579,1.08568,1.10051,1.68017,2.34598e-05,2.34598e-05,2.34598e-05
96,475.462,0.50774,0.56452,1.05072,0.79386,0.78026,0.77954,0.66333,1.07987,1.09434,1.67775,2.01178e-05,2.01178e-05,2.01178e-05
97,480.312,0.47525,0.51495,1.00291,0.78258,0.7866,0.77929,0.66439,1.07854,1.09243,1.67781,1.7379e-05,1.7379e-05,1.7379e-05
98,487.081,0.49443,0.5279,1.04224,0.79097,0.79354,0.78318,0.66408,1.07321,1.09377,1.67544,1.5246e-05,1.5246e-05,1.5246e-05
99,493.871,0.48793,0.53212,1.03354,0.78732,0.79928,0.78356,0.66471,1.07557,1.09525,1.67981,1.3721e-05,1.3721e-05,1.3721e-05
100,500.825,0.46956,0.4982,1.00486,0.77902,0.79355,0.78245,0.66414,1.07467,1.09662,1.67907,1.28053e-05,1.28053e-05,1.28053e-05
