epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.871,1.26676,2.96583,1.6067,1,0.30208,0.45822,0.38078,1.42063,12.7443,1.84992,0.000412621,0.000412621,0.000412621
2,396.988,1.4768,2.99734,1.71112,0.02594,0.50412,0.02213,0.01145,1.88077,39.8213,2.73326,0.00075089,0.00075089,0.00075089
3,608.093,1.51273,2.79516,1.77023,0.63663,0.24908,0.31118,0.21934,1.45806,9.33606,1.93729,0.000819793,0.000819793,0.000819793
4,792.704,1.42602,2.5871,1.7053,0.78804,0.5,0.49749,0.33591,1.25901,4.13688,1.724,0.000440046,0.000440046,0.000440046
5,989.695,1.2961,2.05985,1.58607,0.73952,0.49386,0.64118,0.51319,1.13174,1.90934,1.5805,0.000130671,0.000130671,0.000130671
